,cords,description,name,params
0,44.794 -87.313,"Sturgeon Bay CG Station, WI",station-0y2w3,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
1,41.73 -86.91,"Michigan City CG Station, IN",station-18ci3,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
2,42.09 -86.49,"St. Joseph CG Station, MI",station-20cm4,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
3,40.302 146.192,"21346  380km East of Iwate, Japan",station-21346,[None]
4,39.601 145.799,"21347  320km East of Iwate, Japan",station-21347,[None]
5,38.816 145.595,"21348   350km East of Miyagi, Japan",station-21348,[None]
6,42.617 152.583,250NM Southeast of Iturup Island,station-21401,[None]
7,46.488 158.343,286NM East of Simushir Island,station-21402,[None]
8,30.533 152.132,"SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP",station-21413,[None]
9,48.963 178.237,"AMCHITKA - 170 NM South of Amchitka, AK",station-21414,[None]
10,50.153 171.897,"ATTU - 175 NM South of Attu, AK",station-21415,[None]
11,48.11 163.435,"KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU",station-21416,[None]
12,43.192 157.142,290NM SE of the Kuril Islands,station-21417,[None]
13,38.735 148.655,"NORTHEAST TOKYO - 450 NM NE of Tokyo, JP",station-21418,[None]
14,44.435 155.717,KURIL ISLANDS - 209NM SE of Kuril Is.,station-21419,[None]
15,28.891 135.022,SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki,station-21420,[None]
16,3.798 91.701,Bay of Bengal IN3,station-23217,[None]
17,10.165 88.5,Bay of Bengal IN4,station-23218,[None]
18,13.472 88.998,Bay of Bengal,station-23219,[None]
19,14.433 89.333,Bay of Bengal,station-23220,[None]
20,17.333 89.483,Bay of Bengal,station-23223,[None]
21,20.2 67.333,Arabian Sea,station-23226,[None]
22,6.255 88.792,Bay of Bengal,station-23227,[None]
23,20.764 65.284,Arabian Sea,station-23228,[None]
24,8.86 88.55,"BAY OF BENGAL - 600 NM WNW of Phuket, Thailand",station-23401,[None]
25,9.541 95.668,"ANDAMAN SEA - 180 NM NW of Phuket, Thailand",station-23461,[None]
26,32.384 144.54,Kuroshio Extension Observatory (KEO),station-28401,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
27,30 -90,SG168,station-28900,"['sea_water_salinity', 'sea_water_temperature']"
28,30 -90,SG176,station-28902,"['sea_water_salinity', 'sea_water_temperature']"
29,30 -90,SG182,station-28903,"['sea_water_salinity', 'sea_water_temperature']"
30,30 -90,SG140,station-28904,"['sea_water_salinity', 'sea_water_temperature']"
31,30 -90,SG121,station-28906,"['sea_water_salinity', 'sea_water_temperature']"
32,30 -90,SG171,station-28907,"['sea_water_salinity', 'sea_water_temperature']"
33,-19.425 -85.078,Woods Hole Stratus Wave Station,station-32012,[None]
34,-1.136 -81.765,Ecuador INOCAR,station-32066,[None]
35,0.641 -81.262,ECUADOR INOCAR,station-32067,[None]
36,-0.888 -81.664,"ECUADOR INOCAR - 58 NM West of Manta, Ecuador",station-32068,[None]
37,0.255 -81.211,"ECUADOR INOCAR - 71 NM West of Pedernales, Ecuador",station-32069,[None]
38,5 -95,5N 95W,station-32303,"['sea_water_temperature', 'winds']"
39,-5 -95,5S 95W,station-32304,"['sea_water_temperature', 'winds']"
40,-8 -95,8S 95W,station-32305,"['sea_water_temperature', 'winds']"
41,5 -110,5N 110W,station-32315,"['sea_water_temperature', 'winds']"
42,2 -110,2N 110W,station-32316,"['sea_water_temperature', 'winds']"
43,-2 -110,2S 110W,station-32317,"['sea_water_temperature', 'winds']"
44,-5 -110,5S 110W,station-32318,"['sea_water_temperature', 'winds']"
45,-8 -110,8S 110W,station-32319,"['sea_water_temperature', 'winds']"
46,2 -95,2N 95W,station-32320,"['sea_water_temperature', 'winds']"
47,0 -95,0 95W,station-32321,"['sea_water_temperature', 'winds']"
